隔浦蓮近拍	隔浦蓮 隔浦蓮近
風入松	風入松慢 遠山橫
剔銀燈	剔銀燈引
解蹀躞	玉蹀躞
撲蝴蝶	撲蝴蝶近
千年調	相思會
番槍子	春草碧
荔枝香	荔枝香近
婆羅門引	婆羅門 望月婆羅門引
御街行	孤雁兒
祝英台近	寶釵分 月底修簫譜 燕鶯語 寒食詞
陽關引	古陽關
金人捧露盤	銅人捧露盤 上平西 上西平 西平曲 上平南
鬥百花	夏州
最高樓	醉高春
彩鳳飛	彩鳳舞
驀山溪	上陽春
千秋歲引	千秋歲令 千秋萬歲
早梅芳	早梅芳近
新荷葉	折新荷引 泛蘭舟
促拍滿路花	滿路花 滿園花 歸去難 一枝花 喝馬一枝花
洞仙歌	洞仙歌令 羽仙歌 洞仙詞 洞中仙 洞仙歌慢
蕙蘭芳引	蕙蘭芳
受恩深	愛恩深
五福降中天	五福降中天慢
江城梅花引	攤破江城子 四笑江梅引 梅花引 明月引 西湖明月引
八六子	感黃鸝
採桑子慢	醜奴兒慢 愁春未醒 醜奴兒近 疊青錢
探芳信	西湖春
法曲獻仙音	獻仙音 越女鏡心
露華	露華慢
淒涼犯	瑞鶴仙影
浣溪沙慢	浣溪紗慢
四犯剪梅花	轆轤金井 三犯錦園春 月城春 錦園春
尾犯	碧芙蓉
六么令	綠腰 樂世 錄要
水調歌頭	元會曲 凱歌
掃地遊	掃花遊
滿庭芳	鎖陽臺 滿庭霜 瀟湘夜雨 話桐鄉 江南好 滿庭花 轉調滿庭芳
小聖樂	驟雨打新荷
漢宮春	漢宮春慢
倦尋芳	倦尋芳慢
八聲甘州	甘州 蕭蕭雨 宴瑤池
醉蓬萊	雪月交光 冰玉風月
鳳凰臺上憶吹簫	憶吹簫
慶清朝	慶清朝慢
燕春台	夏初臨
聲聲慢	勝勝慢 人在樓上
瑣窗寒	鎖寒窗
十月桃	十月梅
新雁過妝樓	雁過妝樓 瑤台聚八仙 八寶妝 百寶妝
國香	國香慢
芳草	鳳簫吟
念奴嬌	大江東去 酹江月 赤壁詞 酹月 壺中天慢 大江西上曲 太平歡 壽南枝 古梅曲 湘月 淮甸春 白雪詞 百字令 百字謠 無俗念 千秋歲 慶長春 杏花天
渡江雲	三兒犯渡江雲
高陽臺	慶春澤慢 慶宮春
